"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1998-11",99.60258,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1998-12",99.58853,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1999-01",99.50746,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1999-02",99.40735,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1999-03",99.34124,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1999-04",99.4099,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1999-05",99.59341,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1999-06",99.83303,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1999-07",100.1266,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1999-08",100.4616,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1999-09",100.7786,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1999-10",101.0149,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1999-11",101.174,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","1999-12",101.2753,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2000-01",101.3412,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2000-02",101.4281,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2000-03",101.5249,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2000-04",101.5796,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2000-05",101.6575,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2000-06",101.7137,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2000-07",101.7249,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2000-08",101.6923,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2000-09",101.6065,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2000-10",101.4669,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2000-11",101.3202,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2000-12",101.1713,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2001-01",100.9128,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2001-02",100.4982,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2001-03",100.225,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2001-04",100.2013,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2001-05",100.2203,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2001-06",100.1355,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2001-07",99.93806,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2001-08",99.53077,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2001-09",99.02203,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2001-10",98.73152,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2001-11",98.70046,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2001-12",98.79992,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2002-01",98.94769,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2002-02",99.22858,
"OECDE","BCI","AMPLITUD","LTRENDIDX","M","2002-03",99.53383,
