"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EA19","LTINT","TOT","PC_PA","M","1999-01",3.822,
"EA19","LTINT","TOT","PC_PA","M","1999-02",3.9742,
"EA19","LTINT","TOT","PC_PA","M","1999-03",4.181,
"EA19","LTINT","TOT","PC_PA","M","1999-04",4.0407,
"EA19","LTINT","TOT","PC_PA","M","1999-05",4.2049,
"EA19","LTINT","TOT","PC_PA","M","1999-06",4.5267,
"EA19","LTINT","TOT","PC_PA","M","1999-07",4.8562,
"EA19","LTINT","TOT","PC_PA","M","1999-08",5.0606,
"EA19","LTINT","TOT","PC_PA","M","1999-09",5.2353,
"EA19","LTINT","TOT","PC_PA","M","1999-10",5.4716,
"EA19","LTINT","TOT","PC_PA","M","1999-11",5.1842,
"EA19","LTINT","TOT","PC_PA","M","1999-12",5.3044,
"EA19","LTINT","TOT","PC_PA","M","2000-01",5.6985,
"EA19","LTINT","TOT","PC_PA","M","2000-02",5.6636,
"EA19","LTINT","TOT","PC_PA","M","2000-03",5.4906,
"EA19","LTINT","TOT","PC_PA","M","2000-04",5.4138,
"EA19","LTINT","TOT","PC_PA","M","2000-05",5.5155,
"EA19","LTINT","TOT","PC_PA","M","2000-06",5.3454,
"EA19","LTINT","TOT","PC_PA","M","2000-07",5.4537,
"EA19","LTINT","TOT","PC_PA","M","2000-08",5.3982,
"EA19","LTINT","TOT","PC_PA","M","2000-09",5.4672,
"EA19","LTINT","TOT","PC_PA","M","2000-10",5.4163,
"EA19","LTINT","TOT","PC_PA","M","2000-11",5.3357,
"EA19","LTINT","TOT","PC_PA","M","2000-12",5.068,
"EA19","LTINT","TOT","PC_PA","M","2001-01",5.0082,
"EA19","LTINT","TOT","PC_PA","M","2001-02",5.0211,
"EA19","LTINT","TOT","PC_PA","M","2001-03",4.9381,
"EA19","LTINT","TOT","PC_PA","M","2001-04",5.1014,
"EA19","LTINT","TOT","PC_PA","M","2001-05",5.2625,
"EA19","LTINT","TOT","PC_PA","M","2001-06",5.2083,
"EA19","LTINT","TOT","PC_PA","M","2001-07",5.25,
"EA19","LTINT","TOT","PC_PA","M","2001-08",5.0582,
"EA19","LTINT","TOT","PC_PA","M","2001-09",5.0374,
"EA19","LTINT","TOT","PC_PA","M","2001-10",4.8169,
"EA19","LTINT","TOT","PC_PA","M","2001-11",4.6667,
"EA19","LTINT","TOT","PC_PA","M","2001-12",4.9588,
"EA19","LTINT","TOT","PC_PA","M","2002-01",5.0229,
"EA19","LTINT","TOT","PC_PA","M","2002-02",5.0661,
"EA19","LTINT","TOT","PC_PA","M","2002-03",5.3165,
"EA19","LTINT","TOT","PC_PA","M","2002-04",5.2972,
"EA19","LTINT","TOT","PC_PA","M","2002-05",5.3031,
"EA19","LTINT","TOT","PC_PA","M","2002-06",5.1649,
"EA19","LTINT","TOT","PC_PA","M","2002-07",5.0274,
"EA19","LTINT","TOT","PC_PA","M","2002-08",4.7311,
"EA19","LTINT","TOT","PC_PA","M","2002-09",4.5233,
"EA19","LTINT","TOT","PC_PA","M","2002-10",4.6235,
"EA19","LTINT","TOT","PC_PA","M","2002-11",4.5924,
"EA19","LTINT","TOT","PC_PA","M","2002-12",4.4065,
"EA19","LTINT","TOT","PC_PA","M","2003-01",4.2703,
"EA19","LTINT","TOT","PC_PA","M","2003-02",4.0608,
"EA19","LTINT","TOT","PC_PA","M","2003-03",4.1272,
"EA19","LTINT","TOT","PC_PA","M","2003-04",4.2289,
"EA19","LTINT","TOT","PC_PA","M","2003-05",3.9187,
"EA19","LTINT","TOT","PC_PA","M","2003-06",3.7233,
"EA19","LTINT","TOT","PC_PA","M","2003-07",4.0626,
"EA19","LTINT","TOT","PC_PA","M","2003-08",4.2047,
"EA19","LTINT","TOT","PC_PA","M","2003-09",4.2319,
"EA19","LTINT","TOT","PC_PA","M","2003-10",4.3081,
"EA19","LTINT","TOT","PC_PA","M","2003-11",4.4378,
"EA19","LTINT","TOT","PC_PA","M","2003-12",4.356,
"EA19","LTINT","TOT","PC_PA","M","2004-01",4.2567,
"EA19","LTINT","TOT","PC_PA","M","2004-02",4.1833,
"EA19","LTINT","TOT","PC_PA","M","2004-03",4.0194,
"EA19","LTINT","TOT","PC_PA","M","2004-04",4.2424,
"EA19","LTINT","TOT","PC_PA","M","2004-05",4.3862,
"EA19","LTINT","TOT","PC_PA","M","2004-06",4.4426,
"EA19","LTINT","TOT","PC_PA","M","2004-07",4.3396,
"EA19","LTINT","TOT","PC_PA","M","2004-08",4.1679,
"EA19","LTINT","TOT","PC_PA","M","2004-09",4.114,
"EA19","LTINT","TOT","PC_PA","M","2004-10",3.9794,
"EA19","LTINT","TOT","PC_PA","M","2004-11",3.8687,
"EA19","LTINT","TOT","PC_PA","M","2004-12",3.6893,
"EA19","LTINT","TOT","PC_PA","M","2005-01",3.6336,
"EA19","LTINT","TOT","PC_PA","M","2005-02",3.6153,
"EA19","LTINT","TOT","PC_PA","M","2005-03",3.7625,
"EA19","LTINT","TOT","PC_PA","M","2005-04",3.5709,
"EA19","LTINT","TOT","PC_PA","M","2005-05",3.4074,
"EA19","LTINT","TOT","PC_PA","M","2005-06",3.2541,
"EA19","LTINT","TOT","PC_PA","M","2005-07",3.316,
"EA19","LTINT","TOT","PC_PA","M","2005-08",3.3155,
"EA19","LTINT","TOT","PC_PA","M","2005-09",3.1555,
"EA19","LTINT","TOT","PC_PA","M","2005-10",3.3234,
"EA19","LTINT","TOT","PC_PA","M","2005-11",3.5273,
"EA19","LTINT","TOT","PC_PA","M","2005-12",3.409,
"EA19","LTINT","TOT","PC_PA","M","2006-01",3.3927,
