"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EA19","STINT","TOT","PC_PA","M","1999-01",3.1321,
"EA19","STINT","TOT","PC_PA","M","1999-02",3.0934,
"EA19","STINT","TOT","PC_PA","M","1999-03",3.0467,
"EA19","STINT","TOT","PC_PA","M","1999-04",2.6965,
"EA19","STINT","TOT","PC_PA","M","1999-05",2.579,
"EA19","STINT","TOT","PC_PA","M","1999-06",2.6267,
"EA19","STINT","TOT","PC_PA","M","1999-07",2.6765,
"EA19","STINT","TOT","PC_PA","M","1999-08",2.695,
"EA19","STINT","TOT","PC_PA","M","1999-09",2.7267,
"EA19","STINT","TOT","PC_PA","M","1999-10",3.3757,
"EA19","STINT","TOT","PC_PA","M","1999-11",3.4677,
"EA19","STINT","TOT","PC_PA","M","1999-12",3.446,
"EA19","STINT","TOT","PC_PA","M","2000-01",3.3431,
"EA19","STINT","TOT","PC_PA","M","2000-02",3.5368,
"EA19","STINT","TOT","PC_PA","M","2000-03",3.747,
"EA19","STINT","TOT","PC_PA","M","2000-04",3.9253,
"EA19","STINT","TOT","PC_PA","M","2000-05",4.362,
"EA19","STINT","TOT","PC_PA","M","2000-06",4.5017,
"EA19","STINT","TOT","PC_PA","M","2000-07",4.5829,
"EA19","STINT","TOT","PC_PA","M","2000-08",4.7771,
"EA19","STINT","TOT","PC_PA","M","2000-09",4.8528,
"EA19","STINT","TOT","PC_PA","M","2000-10",5.0413,
"EA19","STINT","TOT","PC_PA","M","2000-11",5.092,
"EA19","STINT","TOT","PC_PA","M","2000-12",4.9392,
"EA19","STINT","TOT","PC_PA","M","2001-01",4.7707,
"EA19","STINT","TOT","PC_PA","M","2001-02",4.7558,
"EA19","STINT","TOT","PC_PA","M","2001-03",4.7086,
"EA19","STINT","TOT","PC_PA","M","2001-04",4.682,
"EA19","STINT","TOT","PC_PA","M","2001-05",4.6367,
"EA19","STINT","TOT","PC_PA","M","2001-06",4.4536,
"EA19","STINT","TOT","PC_PA","M","2001-07",4.4671,
"EA19","STINT","TOT","PC_PA","M","2001-08",4.3535,
"EA19","STINT","TOT","PC_PA","M","2001-09",3.9829,
"EA19","STINT","TOT","PC_PA","M","2001-10",3.5999,
"EA19","STINT","TOT","PC_PA","M","2001-11",3.3857,
"EA19","STINT","TOT","PC_PA","M","2001-12",3.3449,
"EA19","STINT","TOT","PC_PA","M","2002-01",3.3388,
"EA19","STINT","TOT","PC_PA","M","2002-02",3.3571,
"EA19","STINT","TOT","PC_PA","M","2002-03",3.3908,
"EA19","STINT","TOT","PC_PA","M","2002-04",3.4069,
"EA19","STINT","TOT","PC_PA","M","2002-05",3.4671,
"EA19","STINT","TOT","PC_PA","M","2002-06",3.464,
"EA19","STINT","TOT","PC_PA","M","2002-07",3.41,
"EA19","STINT","TOT","PC_PA","M","2002-08",3.3519,
"EA19","STINT","TOT","PC_PA","M","2002-09",3.3101,
"EA19","STINT","TOT","PC_PA","M","2002-10",3.2613,
"EA19","STINT","TOT","PC_PA","M","2002-11",3.1241,
"EA19","STINT","TOT","PC_PA","M","2002-12",2.941,
"EA19","STINT","TOT","PC_PA","M","2003-01",2.8318,
"EA19","STINT","TOT","PC_PA","M","2003-02",2.6875,
"EA19","STINT","TOT","PC_PA","M","2003-03",2.53,
"EA19","STINT","TOT","PC_PA","M","2003-04",2.5333,
"EA19","STINT","TOT","PC_PA","M","2003-05",2.4005,
"EA19","STINT","TOT","PC_PA","M","2003-06",2.1519,
"EA19","STINT","TOT","PC_PA","M","2003-07",2.13,
"EA19","STINT","TOT","PC_PA","M","2003-08",2.1404,
"EA19","STINT","TOT","PC_PA","M","2003-09",2.1473,
"EA19","STINT","TOT","PC_PA","M","2003-10",2.1436,
"EA19","STINT","TOT","PC_PA","M","2003-11",2.159,
"EA19","STINT","TOT","PC_PA","M","2003-12",2.1463,
"EA19","STINT","TOT","PC_PA","M","2004-01",2.0895,
"EA19","STINT","TOT","PC_PA","M","2004-02",2.0705,
"EA19","STINT","TOT","PC_PA","M","2004-03",2.0288,
"EA19","STINT","TOT","PC_PA","M","2004-04",2.0488,
"EA19","STINT","TOT","PC_PA","M","2004-05",2.0859,
"EA19","STINT","TOT","PC_PA","M","2004-06",2.1127,
"EA19","STINT","TOT","PC_PA","M","2004-07",2.116,
"EA19","STINT","TOT","PC_PA","M","2004-08",2.1143,
"EA19","STINT","TOT","PC_PA","M","2004-09",2.1186,
"EA19","STINT","TOT","PC_PA","M","2004-10",2.1473,
"EA19","STINT","TOT","PC_PA","M","2004-11",2.1703,
"EA19","STINT","TOT","PC_PA","M","2004-12",2.1732,
"EA19","STINT","TOT","PC_PA","M","2005-01",2.1454,
"EA19","STINT","TOT","PC_PA","M","2005-02",2.1383,
"EA19","STINT","TOT","PC_PA","M","2005-03",2.1372,
"EA19","STINT","TOT","PC_PA","M","2005-04",2.1372,
"EA19","STINT","TOT","PC_PA","M","2005-05",2.1256,
"EA19","STINT","TOT","PC_PA","M","2005-06",2.111,
"EA19","STINT","TOT","PC_PA","M","2005-07",2.1194,
"EA19","STINT","TOT","PC_PA","M","2005-08",2.1325,
"EA19","STINT","TOT","PC_PA","M","2005-09",2.1391,
"EA19","STINT","TOT","PC_PA","M","2005-10",2.1966,
"EA19","STINT","TOT","PC_PA","M","2005-11",2.3609,
"EA19","STINT","TOT","PC_PA","M","2005-12",2.4729,
"EA19","STINT","TOT","PC_PA","M","2006-01",2.5117,
"EA19","STINT","TOT","PC_PA","M","2006-02",2.6004,
"EA19","STINT","TOT","PC_PA","M","2006-03",2.7226,
"EA19","STINT","TOT","PC_PA","M","2006-04",2.7938,
"EA19","STINT","TOT","PC_PA","M","2006-05",2.889,
"EA19","STINT","TOT","PC_PA","M","2006-06",2.9857,
"EA19","STINT","TOT","PC_PA","M","2006-07",3.1022,
"EA19","STINT","TOT","PC_PA","M","2006-08",3.2265,
"EA19","STINT","TOT","PC_PA","M","2006-09",3.3354,
"EA19","STINT","TOT","PC_PA","M","2006-10",3.502,
"EA19","STINT","TOT","PC_PA","M","2006-11",3.5972,
"EA19","STINT","TOT","PC_PA","M","2006-12",3.6842,
"EA19","STINT","TOT","PC_PA","M","2007-01",3.7519,
"EA19","STINT","TOT","PC_PA","M","2007-02",3.8182,
"EA19","STINT","TOT","PC_PA","M","2007-03",3.8909,
"EA19","STINT","TOT","PC_PA","M","2007-04",3.9753,
"EA19","STINT","TOT","PC_PA","M","2007-05",4.0714,
"EA19","STINT","TOT","PC_PA","M","2007-06",4.1478,
"EA19","STINT","TOT","PC_PA","M","2007-07",4.2162,
"EA19","STINT","TOT","PC_PA","M","2007-08",4.5436,
"EA19","STINT","TOT","PC_PA","M","2007-09",4.7417,
"EA19","STINT","TOT","PC_PA","M","2007-10",4.6874,
"EA19","STINT","TOT","PC_PA","M","2007-11",4.6385,
"EA19","STINT","TOT","PC_PA","M","2007-12",4.8484,
"EA19","STINT","TOT","PC_PA","M","2008-01",4.4815,
"EA19","STINT","TOT","PC_PA","M","2008-02",4.3621,
"EA19","STINT","TOT","PC_PA","M","2008-03",4.5964,
"EA19","STINT","TOT","PC_PA","M","2008-04",4.7835,
"EA19","STINT","TOT","PC_PA","M","2008-05",4.8574,
"EA19","STINT","TOT","PC_PA","M","2008-06",4.9405,
"EA19","STINT","TOT","PC_PA","M","2008-07",4.961,
"EA19","STINT","TOT","PC_PA","M","2008-08",4.9652,
"EA19","STINT","TOT","PC_PA","M","2008-09",5.0192,
"EA19","STINT","TOT","PC_PA","M","2008-10",5.1131,
"EA19","STINT","TOT","PC_PA","M","2008-11",4.2383,
"EA19","STINT","TOT","PC_PA","M","2008-12",3.2926,
"EA19","STINT","TOT","PC_PA","M","2009-01",2.4565,
"EA19","STINT","TOT","PC_PA","M","2009-02",1.9431,
"EA19","STINT","TOT","PC_PA","M","2009-03",1.6355,
"EA19","STINT","TOT","PC_PA","M","2009-04",1.4223,
"EA19","STINT","TOT","PC_PA","M","2009-05",1.2817,
"EA19","STINT","TOT","PC_PA","M","2009-06",1.2279,
"EA19","STINT","TOT","PC_PA","M","2009-07",0.975,
"EA19","STINT","TOT","PC_PA","M","2009-08",0.8605,
"EA19","STINT","TOT","PC_PA","M","2009-09",0.7721,
"EA19","STINT","TOT","PC_PA","M","2009-10",0.7375,
