Full_Date,Date,Day,Inflation,Interest_Rate,Deposit facility,Marginal lending facility
1999-01-01,1999,1 Jan.,2.6,3.0,2.00,4.5
1999-02-01,1999,1 Jan.,2.6,3.0,2.00,4.5
1999-03-01,1999,1 Jan.,2.6,3.0,2.00,4.5
1999-04-01,1999,9 Apr.,2.6,2.5,2.00,4.5
1999-05-01,1999,9 Apr.,2.6,2.5,2.00,4.5
1999-06-01,1999,9 Apr.,2.6,2.5,2.00,4.5
1999-07-01,1999,9 Apr.,2.6,2.5,2.00,4.5
1999-08-01,1999,9 Apr.,2.6,2.5,2.00,4.5
1999-09-01,1999,9 Apr.,2.6,2.5,2.00,4.5
1999-10-01,1999,9 Apr.,2.6,2.5,2.00,4.5
1999-11-01,1999,5 Nov.,2.6,3.0,2.00,4.5
1999-12-01,1999,5 Nov.,2.6,3.0,2.00,4.5
2000-01-01,2000,5 Nov.,3.7,3.25,2.25,4.25
2000-02-01,2000,4 feb.,3.7,3.25,2.25,4.25
2000-03-01,2000,4 feb.,3.7,3.5,2.25,4.25
2000-04-01,2000,4 feb.,3.7,3.5,2.25,4.25
2000-05-01,2000,4 feb.,3.7,3.75,2.25,4.25
2000-06-01,2000,4 feb.,3.7,4.25,2.25,4.25
2000-07-01,2000,4 feb.,3.7,4.25,2.25,4.25
2000-08-01,2000,4 feb.,3.7,4.25,2.25,4.25
2000-09-01,2000,4 feb.,3.7,4.5,2.25,4.25
2000-10-01,2000,4 feb.,3.7,4.75,2.25,4.25
2000-11-01,2000,4 feb.,3.7,4.75,2.25,4.25
2000-12-01,2000,4 feb.,3.7,4.75,2.25,4.25
2001-01-01,2001,11 May.,3.4,4.75,3.50,5.5
2001-02-01,2001,11 May.,3.4,4.75,3.50,5.5
2001-03-01,2001,11 May.,3.4,4.75,3.50,5.5
2001-04-01,2001,11 May.,3.4,4.75,3.50,5.5
2001-05-01,2001,11 May.,3.4,4.5,3.50,5.5
2001-06-01,2001,11 May.,3.4,4.5,3.50,5.5
2001-07-01,2001,11 May.,3.4,4.5,3.50,5.5
2001-08-01,2001,11 May.,3.4,4.5,3.50,5.5
2001-09-01,2001,11 May.,3.4,4.25,3.50,5.5
2001-10-01,2001,11 May.,3.4,3.75,3.50,5.5
2001-11-01,2001,11 May.,3.4,3.25,3.50,5.5
2001-12-01,2001,11 May.,3.4,3.25,3.50,5.5
2002-01-01,2002,6 Dec.,2.8,3.25,2.15,4.15
2002-02-01,2002,6 Dec.,2.8,3.25,2.15,4.15
2002-03-01,2002,6 Dec.,2.8,3.25,2.15,4.15
2002-04-01,2002,6 Dec.,2.8,3.25,2.15,4.15
2002-05-01,2002,6 Dec.,2.8,3.25,2.15,4.15
2002-06-01,2002,6 Dec.,2.8,3.25,2.15,4.15
2002-07-01,2002,6 Dec.,2.8,3.25,2.15,4.15
2002-08-01,2002,6 Dec.,2.8,3.25,2.15,4.15
2002-09-01,2002,6 Dec.,2.8,3.25,2.15,4.15
2002-10-01,2002,6 Dec.,2.8,3.25,2.15,4.15
2002-11-01,2002,6 Dec.,2.8,3.25,2.15,4.15
2002-12-01,2002,6 Dec.,2.8,2.75,2.15,4.15
2003-01-01,2003,7 mar.,2.4,2.75,1.50,3.5
2003-02-01,2003,7 mar.,2.4,2.75,1.50,3.5
2003-03-01,2003,7 mar.,2.4,2.5,1.50,3.5
2003-04-01,2003,7 mar.,2.4,2.5,1.50,3.5
2003-05-01,2003,7 mar.,2.4,2.5,1.50,3.5
2003-06-01,2003,7 mar.,2.4,2.0,1.50,3.5
2003-07-01,2003,7 mar.,2.4,2.0,1.50,3.5
2003-08-01,2003,7 mar.,2.4,2.0,1.50,3.5
2003-09-01,2003,7 mar.,2.4,2.0,1.50,3.5
2003-10-01,2003,7 mar.,2.4,2.0,1.50,3.5
2003-11-01,2003,7 mar.,2.4,2.0,1.50,3.5
2003-12-01,2003,7 mar.,2.4,2.0,1.50,3.5
2004-01-01,2004,01-Jan,2.5,2.0,1.00,3.0
2004-02-01,2004,01-Jan,2.5,2.0,1.00,3.0
2004-03-01,2004,01-Jan,2.5,2.0,1.00,3.0
2004-04-01,2004,01-Jan,2.5,2.0,1.00,3.0
2004-05-01,2004,01-Jan,2.5,2.0,1.00,3.0
2004-06-01,2004,01-Jan,2.5,2.0,1.00,3.0
2004-07-01,2004,01-Jan,2.5,2.0,1.00,3.0
2004-08-01,2004,01-Jan,2.5,2.0,1.00,3.0
2004-09-01,2004,01-Jan,2.5,2.0,1.00,3.0
2004-10-01,2004,01-Jan,2.5,2.0,1.00,3.0
2004-11-01,2004,01-Jan,2.5,2.0,1.00,3.0
2004-12-01,2004,01-Jan,2.5,2.0,1.00,3.0
2005-01-01,2005,6 Dec.,2.4,2.0,1.25,3.25
2005-02-01,2005,6 Dec.,2.4,2.0,1.25,3.25
2005-03-01,2005,6 Dec.,2.4,2.0,1.25,3.25
2005-04-01,2005,6 Dec.,2.4,2.0,1.25,3.25
2005-05-01,2005,6 Dec.,2.4,2.0,1.25,3.25
2005-06-01,2005,6 Dec.,2.4,2.0,1.25,3.25
2005-07-01,2005,6 Dec.,2.4,2.0,1.25,3.25
2005-08-01,2005,6 Dec.,2.4,2.0,1.25,3.25
2005-09-01,2005,6 Dec.,2.4,2.0,1.25,3.25
2005-10-01,2005,6 Dec.,2.4,2.0,1.25,3.25
2005-11-01,2005,6 Dec.,2.4,2.0,1.25,3.25
2005-12-01,2005,6 Dec.,2.4,2.25,1.25,3.25
2006-01-01,2006,8 mar.,2.4,2.25,1.50,3.5
2006-02-01,2006,8 mar.,2.4,2.25,1.50,3.5
2006-03-01,2006,8 mar.,2.4,2.5,1.50,3.5
